utterance,paraphrase,list_of_slots,error_category,,
Book a restaurant reservation for  me and my child  for  2 Pm  in  Faysville,Book a restaurant reservation for me and my child for 1 pm in Faysville?,"['me and my child || party_size_description', '2 Pm || timeRange', 'Faysville || city']",correct,,
Book a restaurant reservation for  me and my child  for  2 Pm  in  Faysville,Can I book a restaurant reservation for me and my child for 2 PM in Faysville?,"['me and my child || party_size_description', '2 Pm || timeRange', 'Faysville || city']",correct,,
Book a restaurant reservation for  me and my child  for  2 Pm  in  Faysville,Where is the best restaurant for class 2 children in Faysville FL?,"['me and my child || party_size_description', '2 Pm || timeRange', 'Faysville || city']","slot omission, wrong slot, slot addition",,
Book a restaurant reservation for  me and my child  for  2 Pm  in  Faysville,"Book a restaurant reservation for me and my son for 2 Pm in Faysville, FL.","['me and my child || party_size_description', '2 Pm || timeRange', 'Faysville || city']","spelling, slot addition",,
I want to book a  highly rated   churrascaria   ten months from now .,"I want to book a highly rated churrascaria ten months from now. I dont want anything special, but I want to learn the culture of churrascaria. I intend to book the quality in 10 months.I want it.","['highly rated || sort', 'churrascaria || restaurant_type', 'ten months from now || timeRange']","semantic, spelling, incoherent, wordy",,
I want to book a  highly rated   churrascaria   ten months from now .,I want to book a highly rated churrascaria ten months from now. My project is a very prestigious piece of fiction.,"['highly rated || sort', 'churrascaria || restaurant_type', 'ten months from now || timeRange']","spelling, incoherent, wordy",,
I want to book a  highly rated   churrascaria   ten months from now .,I want to book a highly rated churrascaria ten months from now.,"['highly rated || sort', 'churrascaria || restaurant_type', 'ten months from now || timeRange']","spelling, duplication",,
I want to book a  highly rated   churrascaria   ten months from now .,I want to book a highly rated churrascaria ten months from now.,"['highly rated || sort', 'churrascaria || restaurant_type', 'ten months from now || timeRange']","spelling, duplication",,
I want to book a  highly rated   churrascaria   ten months from now .,I want to book a highly rated churrascaria ten months from now?,"['highly rated || sort', 'churrascaria || restaurant_type', 'ten months from now || timeRange']","spelling, duplication, punctuation",,
I want to book a  highly rated   churrascaria   ten months from now .,I want to book a highly rated churrascaria ten months from now. So. how?,"['highly rated || sort', 'churrascaria || restaurant_type', 'ten months from now || timeRange']","spelling, questioning",,
I want to book a  highly rated   churrascaria   ten months from now .,How do I book a highly rated churrascaria with a better plot?,"['highly rated || sort', 'churrascaria || restaurant_type', 'ten months from now || timeRange']","spelling, incoherent, wordy, slot omission",,
I want to book a  highly rated   churrascaria   ten months from now .,I want to book a highly rated churrascaria from ten months now.,"['highly rated || sort', 'churrascaria || restaurant_type', 'ten months from now || timeRange']",spelling,,
I want to book a  highly rated   churrascaria   ten months from now .,I want to book a highly rated churrascaria from now. I want 10 months from now. Can I have a far long waiting list?,"['highly rated || sort', 'churrascaria || restaurant_type', 'ten months from now || timeRange']","semantic, spelling, redundant, incoherent, questioning",,
I want to book a  highly rated   churrascaria   ten months from now .,What are the requirements to book a highly rated currascaria ten months from now?,"['highly rated || sort', 'churrascaria || restaurant_type', 'ten months from now || timeRange']","semantic, homonym",,
i need a table for  7  in  Kashegelok   VT,I need a table for 7 in Kashegelok VT. A single table of 7 is required.,"['7 || party_size_number', 'Kashegelok || city', 'VT || state']",redundant,,
i need a table for  7  in  Kashegelok   VT,"I need tables for 7 in Kashegelok, VT. i have table of 8 in Kashegelok so that can I prepare my meal?","['7 || party_size_number', 'Kashegelok || city', 'VT || state']","spelling, redundant, answering, wordy, punctuation",,
i need a table for  7  in  Kashegelok   VT,I want a table for 7 in Kashegelok VT. is there any table for 4 there?,"['7 || party_size_number', 'Kashegelok || city', 'VT || state']","spelling, redundant, incoherent, questioning",,
i need a table for  7  in  Kashegelok   VT,I need tables for 7 in Kashegelok VT. I have 2 people with 2 adults. I would like 10 tables for 2 persons.,"['7 || party_size_number', 'Kashegelok || city', 'VT || state']","redundant, incoherent, wordy",,
i need a table for  7  in  Kashegelok   VT,I need a table for 7 in Kashegelok VT. I have two chairs.,"['7 || party_size_number', 'Kashegelok || city', 'VT || state']","incoherent, wordy",,
i need a table for  7  in  Kashegelok   VT,i need a table for 7 in Kashegelok VT?,"['7 || party_size_number', 'Kashegelok || city', 'VT || state']","duplication, punctuation",,
i need a table for  7  in  Kashegelok   VT,I need a table for 7 in Kashegelok VT.,"['7 || party_size_number', 'Kashegelok || city', 'VT || state']",duplication,,
i need a table for  7  in  Kashegelok   VT,I need table for 7 in Kashegelok VT.,"['7 || party_size_number', 'Kashegelok || city', 'VT || state']",grammar,,
i need a table for  7  in  Kashegelok   VT,I need a table for 7 in Kashegelok VT. Is there any price?,"['7 || party_size_number', 'Kashegelok || city', 'VT || state']","semantic, questioning",,
i need a table for  7  in  Kashegelok   VT,I want a table for 7 in Kashegelok VT. can you suggest a table with seat in backseat?,"['7 || party_size_number', 'Kashegelok || city', 'VT || state']","grammar, spelling, incoherent",,
book spot for  eight  at a  bar  that serves  pastelaria,"Book spot for eight at a bar that serves pastelaria.com., that's about the menu..","['eight || party_size_number', 'bar || restaurant_type', 'pastelaria || cuisine']","homonym, wordy, punctuation",,
book spot for  eight  at a  bar  that serves  pastelaria,What is the best book spot at a bar serving pastelaria at $5.50?,"['eight || party_size_number', 'bar || restaurant_type', 'pastelaria || cuisine']","semantic, slot omission",,
book spot for  eight  at a  bar  that serves  pastelaria,"Get your own book at Bar Paleontaria - The Floating Kitchen. For eight, get your own.","['eight || party_size_number', 'bar || restaurant_type', 'pastelaria || cuisine']","semantic, redundant, homonym, incoherent, wordy, slot omission",,
book spot for  eight  at a  bar  that serves  pastelaria,"As mentioned before, the restaurant at Pastellaria has a unique book stall for eight at its counter.","['eight || party_size_number', 'bar || restaurant_type', 'pastelaria || cuisine']","spelling, homonym, answering, wrong slot",,
book spot for  eight  at a  bar  that serves  pastelaria,Book book spot for eight at a bar that serves pastelaria.net.,"['eight || party_size_number', 'bar || restaurant_type', 'pastelaria || cuisine']","grammar, redundant, homonym",,
book spot for  eight  at a  bar  that serves  pastelaria,Books: A one-of-a-kind book spot at a bar that serves pastelaria. This spot will be good for two books.,"['eight || party_size_number', 'bar || restaurant_type', 'pastelaria || cuisine']","answering, slot omission",,
book spot for  eight  at a  bar  that serves  pastelaria,Where is the best place to sit and read at a bar called pastelaria?,"['eight || party_size_number', 'bar || restaurant_type', 'pastelaria || cuisine']","semantic, slot omission, wrong slot",,
book spot for  eight  at a  bar  that serves  pastelaria,The book spot at a bar that serves pastelaria pies for eight at 6:00. Book spot for eight for nine.,"['eight || party_size_number', 'bar || restaurant_type', 'pastelaria || cuisine']","spelling, redundant, slot addition",,
book spot for  eight  at a  bar  that serves  pastelaria,"At a bar serving pastelaria, a four-course book is for eight. It's really good.","['eight || party_size_number', 'bar || restaurant_type', 'pastelaria || cuisine']","answering, incoherent",,
book spot for  eight  at a  bar  that serves  pastelaria,What are the recommended books for eight at a bar called pastelaria?,"['eight || party_size_number', 'bar || restaurant_type', 'pastelaria || cuisine']",semantic,,
I need a table for  clare and yvonne ramirez  at  Baker's Keyboard Lounge,I need a table for clare & yvonne ramirez in baker's keyboard lounge. They are having a variety of keyboards.,"['clare and yvonne ramirez || party_size_description', ""Baker's Keyboard Lounge || restaurant_name""]","spelling, answering, wordy",,
I need a table for  clare and yvonne ramirez  at  Baker's Keyboard Lounge,I need a table for clare and yvonne ramirez at Baker's Keyboard Lounge. She is in need of tables.,"['clare and yvonne ramirez || party_size_description', ""Baker's Keyboard Lounge || restaurant_name""]","spelling, redundant",,
I need a table for  clare and yvonne ramirez  at  Baker's Keyboard Lounge,I'm looking for a table for clare and yvonne Ramirez at Baker's Keyboard Lounge. I'm in my late 30s.,"['clare and yvonne ramirez || party_size_description', ""Baker's Keyboard Lounge || restaurant_name""]","spelling, wordy",,
I need a table for  clare and yvonne ramirez  at  Baker's Keyboard Lounge,I need a table for clare and yvonne ramirez at Baker's Keyboard Lounge. Please help?,"['clare and yvonne ramirez || party_size_description', ""Baker's Keyboard Lounge || restaurant_name""]","spelling, wordy, punctuation",,
I need a table for  clare and yvonne ramirez  at  Baker's Keyboard Lounge,I need a table for clare and yvonne ramirez at Baker's Keyboard Lounge.,"['clare and yvonne ramirez || party_size_description', ""Baker's Keyboard Lounge || restaurant_name""]",spelling,,
I need a table for  clare and yvonne ramirez  at  Baker's Keyboard Lounge,I need a table for Clare and Yvonne Ramirez at Baker's Keyboard Lounge. I don't want them to be disappointed.,"['clare and yvonne ramirez || party_size_description', ""Baker's Keyboard Lounge || restaurant_name""]",correct,,
I need a table for  clare and yvonne ramirez  at  Baker's Keyboard Lounge,I need a table for Clare and yvonne ramirez at Baker's Keyboard Lounge. Please list all comers.,"['clare and yvonne ramirez || party_size_description', ""Baker's Keyboard Lounge || restaurant_name""]","semantic, spelling",,
I need a table for  clare and yvonne ramirez  at  Baker's Keyboard Lounge,I need a table for clare and yvonne ramirez at Baker's Keyboard Lounge. This is a good place to meet.,"['clare and yvonne ramirez || party_size_description', ""Baker's Keyboard Lounge || restaurant_name""]",spelling,,
I need a table for  clare and yvonne ramirez  at  Baker's Keyboard Lounge,I need a table for clare & yvonne ramirez at Baker's Keyboard Lounge. (I live in the south). Thanks.,"['clare and yvonne ramirez || party_size_description', ""Baker's Keyboard Lounge || restaurant_name""]","spelling, wordy",,
I need a table for  clare and yvonne ramirez  at  Baker's Keyboard Lounge,I need a table for clare & yvonne ramirez at Baker's Keyboard Lounge. I am having three.,"['clare and yvonne ramirez || party_size_description', ""Baker's Keyboard Lounge || restaurant_name""]","spelling, incoherent, wordy",,
"I want to book  Cheese Board Collective  in  Poland  for  april the first, 2030 .","Will be cheese board collective in Poland in april the first, 2030?","['Cheese Board Collective || restaurant_name', 'Poland || country', 'april the first, 2030 || timeRange']","semantic, spelling",,
"I want to book  Cheese Board Collective  in  Poland  for  april the first, 2030 .","I want to book Cheese Board Collective in Poland for april the first, 2030.'sorry for the lack of a date'. I want to know who will be available for the workshop/exhibition. Please list some local places like Izmir.","['Cheese Board Collective || restaurant_name', 'Poland || country', 'april the first, 2030 || timeRange']","semantic, spelling, answering, wordy, slot addition",,
"I want to book  Cheese Board Collective  in  Poland  for  april the first, 2030 .",Will the cheese board collective ever play in Poland?,"['Cheese Board Collective || restaurant_name', 'Poland || country', 'april the first, 2030 || timeRange']","semantic, spelling, slot omission",,
"I want to book  Cheese Board Collective  in  Poland  for  april the first, 2030 .","I want to book Cheese Board Collective in Poland for april the first, 2030.","['Cheese Board Collective || restaurant_name', 'Poland || country', 'april the first, 2030 || timeRange']","spelling, duplication",,
